osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,path,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
"44715239","5114",secondary,Strada Provinciale 87 Valdete,SP87,F,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00012755338577,244.004485977982,13.8010967,43.1627815
"44715446","5131",motorway_link,,,F,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"7","0","7",0.00264319359589,330.214000147031,13.7988948,43.1595316
"854653610","5113",primary,Viale Bruno Buozzi,SS16,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,134.045158747358,13.0132775,43.8426364
"44178482","5113",primary,Strada Statale 16 Adriatica,SS16,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00020286636189,5.79827630308678,13.8700794,42.9794934
"44179279","5114",secondary,Via della Fratellanza,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"7","0","7",0.00101673991259,226.078012167529,13.8685331,42.9788923
"44178517","5111",motorway,Autostrada Adriatica,A14,F,"130","1",true,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00217323448574,316.400181101335,13.863686,42.9783725
"44178517","5111",motorway,Autostrada Adriatica,A14,F,"130","1",true,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00217323448574,316.400181101335,13.863686,42.9783725
"44179279","5114",secondary,Via della Fratellanza,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"17","0","17",0.00654884116598,267.862763947376,13.8631591,42.9777372
"44179324","5131",motorway_link,,,F,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"28","0","28",0.00526037776629,130.269187199465,13.8620756,42.9781278
"125433736","5113",primary,Strada Statale 16 Adriatica,SS16,B,"90","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"2","0","2",0.00636463739991,161.805441749989,13.914145,42.8506349
"489942832","5113",primary,Strada Statale 16 Adriatica,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"0","0","0",0,160.396461348273,13.9031885,42.8831925
"29191787","5115",tertiary,Via Milano,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"5","0","5",0.00078551447248,223.479785736332,12.8956627,43.9100131
"125433868","5113",primary,Strada Statale 16 Adriatica,SS16,F,"70","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"2","0","2",0.00010684406064,302.978838751133,13.9082142,42.869165
"125433863","5115",tertiary,Via dei Castani,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"0","0","0",0,265.933681225191,13.9109946,42.8692429
"140562083","5113",primary,Strada Provinciale 571 Helvia Recina,SP571,B,"70","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00029205213576,67.7468495942113,13.6740089,43.4071992
"29023304","5115",tertiary,Viale John Fitzgerald Kennedy,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"6","0","6",0.00168920560724,349.976754646745,13.0117145,43.8431407
"29023304","5115",tertiary,Viale John Fitzgerald Kennedy,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"7","0","7",0.00178668180946,350.100534230118,13.0116976,43.8432367
"29023304","5115",tertiary,Viale John Fitzgerald Kennedy,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00013536251327,359.158395090483,13.0119494,43.841605
"549062083","5113",primary,Strada Statale 16 Adriatica,SS16,B,"90","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00164427010721,344.264846274093,13.7803262,43.2144186
"140562101","5113",primary,Via Adriatica,SS16,B,"70","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"13","0","13",0.01335130751757,318.74412856989,13.6666161,43.4183256
"60235022","5132",trunk_link,Uscita 5 Viale dello Sport,,F,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"7","0","7",0.00079072719485,64.7902743525221,13.8929092,42.9271116
"549062081","5113",primary,Strada Statale 16 Adriatica,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,343.033408272353,13.7780532,43.221922
"60235022","5132",trunk_link,Uscita 5 Viale dello Sport,,F,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00025538040182,25.6187216001748,13.8925132,42.9267687
"140471265","5115",tertiary,Viale Europa,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00030648763552,154.905927764233,13.6667452,43.4265861
"140471262","5115",tertiary,Viale Europa,,F,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",9.040153314e-05,136.593246656035,13.6677688,43.4245262
"140471277","5115",tertiary,,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"15","0","15",0.00048755741052,72.9114451223113,13.6664438,43.4270488
"30239587","5113",primary,Strada Statale 16 Adriatica,SS16,F,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00044718337959,106.005390028725,13.1746428,43.7455809
"230871750","5115",tertiary,,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00385197814005,80.6013057311516,13.7503135,43.2566791
"140471213","5114",secondary,Viale Ludovico Scarfiotti,SP100,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"23","0","23",0.0101137181402,138.726372923429,13.6455513,43.4666456
"140471213","5114",secondary,Viale Ludovico Scarfiotti,SP100,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"21","0","21",0.00853028168793,138.485403162491,13.6445041,43.4678333
"140471213","5114",secondary,Viale Ludovico Scarfiotti,SP100,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"22","0","22",0.00940503481882,138.610388895527,13.6450839,43.4671783
"140471256","5115",tertiary,Viale Europa,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"21","0","21",0.00048950399045,55.6243691486627,13.667756,43.4245996
"550008637","5113",primary,Strada Statale 16 Adriatica,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00279008532073,146.509560573754,13.8278963,43.1275606
"233419093","5133",primary_link,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"6","0","6",0.00141176616971,75.3333673656014,12.7552658,43.9533415
"125434025","5115",tertiary,Via Antonio Meucci,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"1","0","1",0.00056001361591,171.475611132634,13.9154332,42.8478246
"60718863","5115",tertiary,Via Arturo Toscanini,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"11","0","11",0.00225582389831,181.224676212636,13.8670963,42.9881878
"231547840","5114",secondary,Strada Provinciale 35 Lapedona,SP35,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"5","0","5",0.00292028385128,92.0953531920982,13.8138966,43.1257202
"60718851","5115",tertiary,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00018585634237,266.131812629978,13.8675609,42.9904156
"554751402","5113",primary,Via Ischia I,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",3.443835071e-05,167.902257803416,13.8726649,42.9684438
"60235034","5112",trunk,Strada Provinciale 227 Raccordo Ascoli Mare - Porto d'Ascoli,SP227,F,"40","1",true,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00242610626853,89.3524221304382,13.8908646,42.9264265
"60235035","5113",primary,Via della Liberazione,SS16,F,"30","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"6","0","6",0.00063919952253,334.634300724753,13.8850467,42.9276033
"30239730","5113",primary,Strada Statale 16 Adriatica,SS16,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00016910797574,143.321085956669,13.1810809,43.7418959
"233501507","5113",primary,,SS16,B,"90","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,86.7573550929611,12.7531942,43.9532106
"143502825","5115",tertiary,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00017828897891,85.5189772527176,13.6567473,43.4412644
"235505201","5115",tertiary,Via dei Laureati,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",7.24953167e-05,151.129864136175,13.9026932,42.9162401
"61600064","5113",primary,Via Martiri della Resistenza,,B,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00021820020623,247.280379768892,13.5145353,43.6091917
"134432182","5115",tertiary,Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"4","0","4",0.00052918351764,50.5251543344581,12.7956872,43.9598734
"559932708","5113",primary,Strada Statale 16 Adriatica,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00018068945736,165.840705382911,13.8559533,43.0350191
"515889029","5115",tertiary,Strada Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"46","0","46",0.01054369391576,296.304575408187,12.8868691,43.9204413
"515816824","5115",tertiary,Strada Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"7","0","7",0.00152431561863,64.8547512424056,12.8696434,43.9288017
"134432182","5115",tertiary,Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"36","0","36",0.00730427569864,205.960252756522,12.7945902,43.9606253
"134432186","5115",tertiary,Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"18","0","18",0.0066753785636,173.210075594527,12.7925353,43.9560113
"521117945","5114",secondary,Via Valtesino,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"32","0","32",0.00532462042704,288.99857795434,13.8634921,42.9837802
"521117945","5114",secondary,Via Valtesino,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"52","0","52",0.01008242822543,270.79191111474,13.8588066,42.9843559
"519993399","5115",tertiary,Via Svarchi Bassi,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"4","0","4",0.00219272241712,134.620559355198,13.6119344,43.4936182
"60008717","5111",motorway,Autostrada Adriatica,A14,F,"130","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"14","0","14",0.0108617945632,323.65722432803,13.7844639,43.1913316
"29000515","5113",primary,,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"15","0","15",0.00168918408844,238.999502660625,13.2118257,43.7075782
"29000515","5113",primary,,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"10","0","10",0.00120497042994,344.888204462964,13.212254,43.7075453
"519479467","5115",tertiary,Via Valcastagno,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"5","0","5",0.00823396072943,235.599211157287,13.6064258086789,43.4856385488631
"28950078","5131",motorway_link,,,B,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00054869205673,285.413210465252,13.1336061,43.7621453
"59990742","5111",motorway,Autostrada Adriatica,A14,F,"130","1",true,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00022113663197,154.443083611457,13.7970986,43.1626928
"536708682","5113",primary,Strada Adriatica,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"15","0","15",0.00020750865288,334.005988665073,12.8962355,43.9106462
"536708682","5113",primary,Strada Adriatica,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"8","0","8",0.00010910844349,101.978497748868,12.8961718,43.9105974
"136940418","5113",primary,Via Conca,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,53.1857023171437,13.4510038,43.602401
"525161574","5115",tertiary,Viale dei Castagni,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",5.035722391e-05,353.154510894421,13.6075397,43.5018595
"525019086","5113",primary,Strada Nazionale Adriatica Sud,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,124.230282677698,13.091818,43.7996998
"136788647","5111",motorway,Autostrada Adriatica,A14,F,"130","1",true,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,311.728803774066,13.7604898,43.2320602
"136788648","5111",motorway,Autostrada Adriatica,A14,F,"130","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00081306519419,131.664555576805,13.7609575,43.2314918
"29001304","5114",secondary,Via San Lorenzo,SP124,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00013268363073,339.850500810969,13.1299923,43.7536698
"29000515","5113",primary,,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"20","0","20",0.00250063899027,215.860292406053,13.2112172,43.7070483
"127674999","5115",tertiary,Strada Provinciale 139 Fonte di Palme,SP139,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"49","0","49",0.01965732650976,93.544952714215,13.8162882,43.1338305
"27514357","5114",secondary,Via Amilcare Ponchielli,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.0002079322583,103.098850781961,12.8929952,43.9026445
"537163453","5115",tertiary,Via San Martino,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,81.423309599881,13.8050515,43.1634135
"27514147","5114",secondary,Via Amilcare Ponchielli,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00023608370916,170.40332725615,12.8925977,43.9029359
"127674999","5115",tertiary,Strada Provinciale 139 Fonte di Palme,SP139,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"8","0","8",0.00152125963876,248.010137046104,13.8104716,43.1354533
"539745530","5115",tertiary,Contrada Valdaso,SP246,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00034028640691,106.594434722925,13.8253954,43.082787
"1069710031","5115",tertiary,Strada Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"20","0","20",0.00493078986337,311.130528709153,12.8981827,43.9183185
"57883299","5115",tertiary,Frazione Poggio,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"43","0","43",0.01270311267413,107.686832194049,13.5894394,43.5617369
"127286389","5115",tertiary,Via Panoramica,SP175,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,260.35269421311,13.8767745,42.9371226
"128568799","5113",primary,Strada Statale 16 Adriatica,SS16,B,"70","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"7","0","7",0.00537076351124,129.192693166189,13.6381821,43.4398372
"1061704842","5115",tertiary,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.0002330283776,226.676900387336,13.7910653,43.1970617
"27514838","5113",primary,Strada delle Marche,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"20","0","20",0.00854658287404,115.969868882625,12.9335517,43.9019524
"127787069","5113",primary,Via Alcide De Gasperi,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"15","0","15",0.00362977970879,135.734466286906,13.8432848,43.0956828
"127787069","5113",primary,Via Alcide De Gasperi,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"12","0","12",0.00265485856795,123.625904758997,13.8424823,43.0962328
"27514834","5113",primary,Viale della Vittoria,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"18","0","18",0.00738565871638,125.452273839369,12.9200622,43.9090535
"223023930","5114",secondary,Via Roma,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,107.953183145857,13.9018903,42.889829
"27784013","5115",tertiary,Via Posatora,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"5","0","5",0.00174076130094,262.154034211079,13.4917032,43.6037022
"513357321","5111",motorway,Autostrada Adriatica,A14,F,"130","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"15","0","15",0.01882349793259,165.689316762155,13.6563474,43.4215331
"27885585","5114",secondary,Via Bologna,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",4.0988413e-05,242.30454644632,13.6229836,43.4921805
"225813550","5114",secondary,Via Dante Alighieri,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"13","0","13",0.00468941075701,69.0445547926049,13.714862,43.3029503
"224479776","5115",tertiary,Via Marsala,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,337.474187290595,13.8794699,42.9573187
"27814412","5114",secondary,,SP1,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"11","0","11",0.00071729116788,172.845706045001,13.6145683,43.5188291
"125433701","5113",primary,Strada Statale 16 Adriatica,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"10","0","10",0.00399944462416,160.479544601296,13.9019815,42.8868909
"125433743","5113",primary,Strada Statale 16 Adriatica,SS16,F,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00015188679995,101.630903098748,13.8976578,42.8912025
"515816776","5115",tertiary,,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"5","0","5",0.00089409931333,291.757281174341,12.7862582,43.9578337
"26203535","5131",motorway_link,,,F,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"6","0","6",0.00091489848449,359.95276401898,13.8622397,42.9785547
"515816778","5115",tertiary,Panoramica Adriatica,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"12","0","12",0.00218465437425,305.592649897481,12.8031904,43.9592357
"26203535","5131",motorway_link,,,F,"40","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",8.403344572e-05,24.6071306168008,13.8624116,42.9777843
"1086109841","5113",primary,Borgo Andrea Costa,SS16,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",8.969147117e-05,159.072738788232,13.7906836,43.1871053
"1011337337","5114",secondary,Via Guglielmo Marconi,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"4","0","4",0.00016361042612,33.7325949063273,13.3831303,43.6217799
"515816775","5115",tertiary,,SP44,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"36","0","36",0.00923885795948,297.92654716761,12.7776316,43.9638172
"1011337337","5114",secondary,Via Guglielmo Marconi,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,95.4884438299633,13.3829838,43.621724
"121303171","5111",motorway,Autostrada Adriatica,A14,F,"130","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"8","0","8",0.00891569862567,161.345489139562,13.9050275,42.8752138
"1000858730","5115",tertiary,Via Solferino,,B,"50","-1",false,true,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,82.772061064188,13.804724,43.163372
"215123837","5115",tertiary,Strada Pescolla,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,43.1047270327118,13.7455405,43.2693727
"999881897","5115",tertiary,Via Rodi,,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00235335082485,264.069790232973,13.5235019,43.6134007
"213935145","5115",tertiary,Via Porta Rimini,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"10","0","10",0.00033603916622,94.6722832101084,12.9039788,43.9106631
"25941849","5115",tertiary,,SP44,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"2","0","2",0.00021024698181,139.016597631529,12.7656272,43.9571922
"213935145","5115",tertiary,Via Porta Rimini,,B,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"11","0","11",0.00037367757745,78.5255648982014,12.9040164,43.9106648
"25941833","5115",tertiary,Via Romagna,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,171.451778804105,12.7659587,43.957041
"125689819","5114",secondary,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"0","0","0",0,258.553628957826,13.7514689,43.2355355
"215041630","5114",secondary,Strada Provinciale 91 Valmenocchia,SP91,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00027923958179,33.017086188561,13.8559091,43.0351943
"996725245","5114",secondary,Galleria del Risorgimento,,B,"30","-1",false,true,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"1","0","1",0.00111085722305,207.381628568136,13.5165438,43.6112916
"210293168","5115",tertiary,Via Grotte di Frasassi,SP20,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"3","0","3",0.00043803070669,71.8560705005403,13.3104069,43.6657805
"125689780","5113",primary,Strada Statale 16 Adriatica,SS16,B,"50","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Centro_main/Centro_main|layername=Centro_main_roads,"5","0","5",0.00244473544649,322.163901147451,13.7727321,43.2314398
"92256490","5133",primary_link,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"0","0","0",0,221.012485187216,13.9159687,42.8395881
"92256503","5115",tertiary,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"0","0","0",0,268.827342268011,13.9150279,42.839252
"92256503","5115",tertiary,,,F,"0","0",false,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"2","0","2",0.00030601045374,253.898384281899,13.9147244,42.8392224
"61597148","5132",trunk_link,,,F,"0","1",true,false,C:/Users/fabio.cevenini/Desktop/distanze/Sud_main|layername=Sud_main_roads,"3","0","3",0.00054657573291,168.31130767159,13.8991712,42.899933
